Malta,28405.00,29063.00,30424.00,32560.00,34755.00,37922.00,40137.00,44868.00,47756.00,50161.00,44804.00,52418.00,59408.00,63481.00,66716.00,70079.00,73576.00,77130.00,80912.00
Marshall Islands,2941.00,2987.00,3037.00,3247.00,3325.00,3500.00,3699.00,4052.00,4540.00,5237.00,5175.00,5420.00,5497.00,5823.00,6085.00,6282.00,6464.00,6628.00,6798.00
Mauritania,4549.00,4716.00,4755.00,5099.00,4662.00,4586.00,5159.00,5636.00,5913.00,6207.00,6095.00,6382.00,7113.00,7542.00,7949.00,8485.00,8789.00,9171.00,9516.00
Mauritius,15912.00,16877.00,17192.00,18107.00,18875.00,19744.00,21313.00,22149.00,23571.00,24691.00,21352.00,23109.00,26934.00,29349.00,31158.00,32880.00,34676.00,36489.00,38407.00
Mexico,16567.00,17248.00,17987.00,18153.00,18797.00,19032.00,20030.00,20481.00,21167.00,21275.00,19501.00,21369.00,23548.00,24976.00,25876.00,26574.00,27365.00,28211.00,29114.00
Federated States of Micronesia,2879.00,3027.00,3021.00,2955.00,2936.00,3097.00,3151.00,3291.00,3372.00,3467.00,3408.00,3477.00,3693.00,3922.00,4129.00,4284.00,4415.00,4539.00,4643.00
Moldova,6370.00,6882.00,7329.00,8345.00,8789.00,9222.00,10527.00,11362.00,12332.00,13241.00,12524.00,15175.00,15710.00,16916.00,18367.00,20030.00,21828.00,23761.00,25873.00
Mongolia,7470.00,8782.00,10074.00,10375.00,10850.00,10442.00,10519.00,11137.00,12058.00,12733.00,12088.00,12641.00,13996.00,15088.00,15900.00,16563.00,17240.00,17926.00,18734.00
Montenegro,13753.00,14472.00,13864.00,14870.00,15371.00,16336.00,18198.00,19703.00,21209.00,22473.00,19303.00,22787.00,25862.00,28002.00,29677.00,31224.00,32763.00,34341.00,36004.00
Morocco,6990.00,7418.00,7421.00,7674.00,7352.00,7905.00,7944.00,8193.00,8557.00,8870.00,8256.00,9226.00,9900.00,10408.00,10926.00,11397.00,11888.00,12407.00,12955.00
Mozambique,959.00,1023.00,1036.00,1085.00,1139.00,1291.00,1364.00,1284.00,1324.00,1340.00,1303.00,1354.00,1469.00,1584.00,1654.00,1723.00,1776.00,1992.00,2214.00
Myanmar,2887.00,3085.00,3454.00,3830.00,4130.00,4224.00,4141.00,4333.00,4685.00,5054.00,5247.00,4470.00,4847.00,5124.00,5349.00,5566.00,5793.00,6042.00,6337.00
Namibia,8515.00,9000.00,9512.00,9901.00,10633.00,10793.00,10578.00,10317.00,10478.00,10382.00,9490.00,10081.00,11080.00,11603.00,11972.00,12323.00,12668.00,13002.00,13347.00
Nauru,4991.00,5467.00,7255.00,7423.00,7966.00,7260.00,7616.00,7133.00,8054.00,9366.00,9689.00,10221.00,10930.00,11169.00,11352.00,11626.00,11881.00,12126.00,12387.00
Nepal,2153.00,2264.00,2474.00,2656.00,2888.00,2932.00,2926.00,3496.00,3809.00,4088.00,3973.00,4293.00,4787.00,4934.00,5226.00,5535.00,5849.00,6175.00,6523.00
Netherlands,45274.00,46703.00,47342.00,49314.00,49338.00,50419.00,52441.00,55509.00,57849.00,59687.00,57698.00,63774.00,70728.00,73317.00,75541.00,78022.00,80586.00,83171.00,85857.00
New Zealand,31393.00,32374.00,32734.00,35469.00,36997.00,36972.00,39254.00,40919.00,42609.00,43957.00,43013.00,47433.00,51962.00,53809.00,55034.00,56718.00,58513.00,60389.00,62342.00
Nicaragua,3969.00,4254.00,4347.00,4539.00,4879.00,5240.00,5651.00,5973.00,5849.00,5722.00,5744.00,6580.00,7229.00,7642.00,7990.00,8346.00,8715.00,9090.00,9484.00
Niger,1061.00,1066.00,1156.00,1125.00,1139.00,1145.00,1148.00,1163.00,1227.00,1276.00,1289.00,1316.00,1518.00,1579.00,1730.00,1812.00,1890.00,1968.00,2050.00
Nigeria,4766.00,4968.00,5000.00,5225.00,5507.00,5426.00,5235.00,5190.00,5279.00,5353.00,5192.00,5483.00,5909.00,6148.00,6322.00,6486.00,6653.00,6816.00,6986.00
North Macedonia,11197.00,11683.00,11909.00,12717.00,13424.00,13885.00,15128.00,15640.00,16463.00,17421.00,16882.00,18363.00,20129.00,21391.00,22576.00,23837.00,25150.00,26506.00,27942.00
Norway,61074.00,62210.00,65519.00,67157.00,66085.00,60558.00,59075.00,63310.00,64957.00,66455.00,66118.00,71376.00,78014.00,82236.00,84851.00,87104.00,89573.00,91893.00,94321.00
Oman,51191.00,48921.00,49100.00,47045.00,44764.00,36735.00,33678.00,34082.00,35030.00,35132.00,35724.00,37784.00,38699.00,39336.00,40022.00,40762.00,41640.00,42362.00,43102.00
Pakistan,4225.00,4360.00,4534.00,4651.00,4774.00,4924.00,5049.00,5159.00,5483.00,5642.00,5551.00,6015.00,6695.00,6774.00,6961.00,7214.00,7534.00,7898.00,8282.00
Palau,11189.00,12119.00,12896.00,12979.00,13847.00,15059.00,15426.00,15143.00,15691.00,16150.00,15335.00,13842.00,14515.00,15170.00,17448.00,19922.00,21045.00,21881.00,22652.00
Panama,15625.00,17459.00,19274.00,21482.00,23659.00,26196.00,28842.00,31622.00,33086.00,34290.00,28201.00,33671.00,39397.00,42738.00,44883.00,47035.00,49267.00,51549.00,53950.00
